#CHR	bp	cM
HanXRQChr01	1	0
HanXRQChr01	100001	0.16
HanXRQChr01	200001	0.31
HanXRQChr01	300001	0.46
HanXRQChr01	400001	0.62
HanXRQChr01	500001	0.77
HanXRQChr01	600001	0.91
HanXRQChr01	700001	1.06
HanXRQChr01	800001	1.21
HanXRQChr01	900001	1.35
HanXRQChr01	1000001	1.5
HanXRQChr01	1100001	1.64
HanXRQChr01	1200001	1.78
HanXRQChr01	1300001	1.92
HanXRQChr01	1400001	2.06
HanXRQChr01	1500001	2.19
HanXRQChr01	1600001	2.33
HanXRQChr01	1700001	2.46
HanXRQChr01	1800001	2.6
HanXRQChr01	1900001	2.73
HanXRQChr01	2000001	2.86
HanXRQChr01	2100001	2.99
HanXRQChr01	2200001	3.11
HanXRQChr01	2300001	3.24
HanXRQChr01	2400001	3.36
HanXRQChr01	2500001	3.49
HanXRQChr01	2600001	3.61
HanXRQChr01	2700001	3.73
HanXRQChr01	2800001	3.85
HanXRQChr01	2900001	3.97
HanXRQChr01	3000001	4.09
HanXRQChr01	3100001	4.2
HanXRQChr01	3200001	4.32
HanXRQChr01	3300001	4.43
HanXRQChr01	3400001	4.54
HanXRQChr01	3500001	4.66
HanXRQChr01	3600001	4.77
HanXRQChr01	3700001	4.88
HanXRQChr01	3800001	4.98
HanXRQChr01	3900001	5.09
HanXRQChr01	4000001	5.19
HanXRQChr01	4100001	5.3
HanXRQChr01	4200001	5.4
HanXRQChr01	4300001	5.5
HanXRQChr01	4400001	5.61
HanXRQChr01	4500001	5.7
HanXRQChr01	4600001	5.8
HanXRQChr01	4700001	5.9
HanXRQChr01	4800001	6
HanXRQChr01	4900001	6.09
HanXRQChr01	5000001	6.19
HanXRQChr01	5100001	6.28
HanXRQChr01	5200001	6.37
HanXRQChr01	5300001	6.46
HanXRQChr01	5400001	6.55
HanXRQChr01	5500001	6.64
HanXRQChr01	5600001	6.73
HanXRQChr01	5700001	6.81
HanXRQChr01	5800001	6.9
HanXRQChr01	5900001	6.98
HanXRQChr01	6000001	7.07
HanXRQChr01	6100001	7.15
HanXRQChr01	6200001	7.23
HanXRQChr01	6300001	7.31
HanXRQChr01	6400001	7.39
HanXRQChr01	6500001	7.47
HanXRQChr01	6600001	7.55
HanXRQChr01	6700001	7.62
HanXRQChr01	6800001	7.7
HanXRQChr01	6900001	7.77
HanXRQChr01	7000001	7.84
HanXRQChr01	7100001	7.92
HanXRQChr01	7200001	7.99
HanXRQChr01	7300001	8.06
HanXRQChr01	7400001	8.13
HanXRQChr01	7500001	8.2
HanXRQChr01	7600001	8.26
HanXRQChr01	7700001	8.33
HanXRQChr01	7800001	8.4
HanXRQChr01	7900001	8.46
HanXRQChr01	8000001	8.52
HanXRQChr01	8100001	8.59
HanXRQChr01	8200001	8.65
HanXRQChr01	8300001	8.71
HanXRQChr01	8400001	8.77
HanXRQChr01	8500001	8.83
HanXRQChr01	8600001	8.89
HanXRQChr01	8700001	8.95
HanXRQChr01	8800001	9
HanXRQChr01	8900001	9.06
HanXRQChr01	9000001	9.11
HanXRQChr01	9100001	9.17
HanXRQChr01	9200001	9.22
HanXRQChr01	9300001	9.27
HanXRQChr01	9400001	9.33
HanXRQChr01	9500001	9.38
HanXRQChr01	9600001	9.43
HanXRQChr01	9700001	9.48
HanXRQChr01	9800001	9.53
HanXRQChr01	9900001	9.57
HanXRQChr01	10000001	9.62
HanXRQChr01	10100001	9.67
HanXRQChr01	10200001	9.71
HanXRQChr01	10300001	9.76
HanXRQChr01	10400001	9.8
HanXRQChr01	10500001	9.84
HanXRQChr01	10600001	9.89
HanXRQChr01	10700001	9.93
HanXRQChr01	10800001	9.97
HanXRQChr01	10900001	10.01
HanXRQChr01	11000001	10.05
HanXRQChr01	11100001	10.09
HanXRQChr01	11200001	10.12
HanXRQChr01	11300001	10.16
HanXRQChr01	11400001	10.2
HanXRQChr01	11500001	10.23
HanXRQChr01	11600001	10.27
HanXRQChr01	11700001	10.3
HanXRQChr01	11800001	10.34
HanXRQChr01	11900001	10.37
HanXRQChr01	12000001	10.4
HanXRQChr01	12100001	10.44
HanXRQChr01	12200001	10.47
HanXRQChr01	12300001	10.5
HanXRQChr01	12400001	10.53
HanXRQChr01	12500001	10.56
HanXRQChr01	12600001	10.59
HanXRQChr01	12700001	10.62
HanXRQChr01	12800001	10.64
HanXRQChr01	12900001	10.67
HanXRQChr01	13000001	10.7
HanXRQChr01	13100001	10.72
HanXRQChr01	13200001	10.75
HanXRQChr01	13300001	10.77
HanXRQChr01	13400001	10.8
HanXRQChr01	13500001	10.82
HanXRQChr01	13600001	10.84
HanXRQChr01	13700001	10.87
HanXRQChr01	13800001	10.89
HanXRQChr01	13900001	10.91
HanXRQChr01	14000001	10.93
HanXRQChr01	14100001	10.95
HanXRQChr01	14200001	10.97
HanXRQChr01	14300001	10.99
HanXRQChr01	14400001	11.01
HanXRQChr01	14500001	11.03
HanXRQChr01	14600001	11.05
HanXRQChr01	14700001	11.06
HanXRQChr01	14800001	11.08
HanXRQChr01	14900001	11.1
HanXRQChr01	15000001	11.11
HanXRQChr01	15100001	11.13
HanXRQChr01	15200001	11.14
HanXRQChr01	15300001	11.16
HanXRQChr01	15400001	11.17
HanXRQChr01	15500001	11.19
HanXRQChr01	15600001	11.2
HanXRQChr01	15700001	11.21
HanXRQChr01	15800001	11.23
HanXRQChr01	15900001	11.24
HanXRQChr01	16000001	11.25
HanXRQChr01	16100001	11.26
HanXRQChr01	16200001	11.27
HanXRQChr01	16300001	11.28
HanXRQChr01	16400001	11.29
HanXRQChr01	16500001	11.3
HanXRQChr01	16600001	11.31
HanXRQChr01	16700001	11.32
HanXRQChr01	16800001	11.33
HanXRQChr01	16900001	11.34
HanXRQChr01	17000001	11.3483333333333
HanXRQChr01	17100001	11.3516666666667
HanXRQChr01	17200001	11.36
HanXRQChr01	17300001	11.37
HanXRQChr01	17400001	11.3783333333333
HanXRQChr01	17500001	11.3816666666667
HanXRQChr01	17600001	11.39
HanXRQChr01	17700001	11.3983333333333
HanXRQChr01	17800001	11.4016666666667
HanXRQChr01	17900001	11.4083333333333
HanXRQChr01	18000001	11.4116666666667
HanXRQChr01	18100001	11.4183333333333
HanXRQChr01	18200001	11.4216666666667
HanXRQChr01	18300001	11.4283333333333
HanXRQChr01	18400001	11.4316666666667
HanXRQChr01	18500001	11.4375
HanXRQChr01	18600001	11.44
HanXRQChr01	18700001	11.4425
HanXRQChr01	18800001	11.4475
HanXRQChr01	18900001	11.45
HanXRQChr01	19000001	11.4525
HanXRQChr01	19100001	11.4566666666667
HanXRQChr01	19200001	11.4583333333333
HanXRQChr01	19300001	11.46
HanXRQChr01	19400001	11.4616666666667
HanXRQChr01	19500001	11.4633333333333
HanXRQChr01	19600001	11.46625
HanXRQChr01	19700001	11.4675
HanXRQChr01	19800001	11.46875
HanXRQChr01	19900001	11.47
HanXRQChr01	20000001	11.47125
HanXRQChr01	20100001	11.4725
HanXRQChr01	20200001	11.47375
HanXRQChr01	20300001	11.4751785714286
HanXRQChr01	20400001	11.4753571428571
HanXRQChr01	20500001	11.4755357142857
HanXRQChr01	20600001	11.4757142857143
HanXRQChr01	20700001	11.4758928571429
HanXRQChr01	20800001	11.4760714285714
HanXRQChr01	20900001	11.47625
HanXRQChr01	21000001	11.4764285714286
HanXRQChr01	21100001	11.4766071428571
HanXRQChr01	21200001	11.4767857142857
HanXRQChr01	21300001	11.4769642857143
HanXRQChr01	21400001	11.4771428571429
HanXRQChr01	21500001	11.4773214285714
HanXRQChr01	21600001	11.4775
HanXRQChr01	21700001	11.4776785714286
HanXRQChr01	21800001	11.4778571428571
HanXRQChr01	21900001	11.4780357142857
HanXRQChr01	22000001	11.4782142857143
HanXRQChr01	22100001	11.4783928571429
HanXRQChr01	22200001	11.4785714285714
HanXRQChr01	22300001	11.47875
HanXRQChr01	22400001	11.4789285714286
HanXRQChr01	22500001	11.4791071428571
HanXRQChr01	22600001	11.4792857142857
HanXRQChr01	22700001	11.4794642857143
HanXRQChr01	22800001	11.4796428571429
HanXRQChr01	22900001	11.4798214285714
HanXRQChr01	23000001	11.48
HanXRQChr01	23100001	11.4801785714286
HanXRQChr01	23200001	11.4803571428571
HanXRQChr01	23300001	11.4805357142857
HanXRQChr01	23400001	11.4807142857143
HanXRQChr01	23500001	11.4808928571429
HanXRQChr01	23600001	11.4810714285714
HanXRQChr01	23700001	11.48125
HanXRQChr01	23800001	11.4814285714286
HanXRQChr01	23900001	11.4816071428571
HanXRQChr01	24000001	11.4817857142857
HanXRQChr01	24100001	11.4819642857143
HanXRQChr01	24200001	11.4821428571429
HanXRQChr01	24300001	11.4823214285714
HanXRQChr01	24400001	11.4825
HanXRQChr01	24500001	11.4826785714286
HanXRQChr01	24600001	11.4828571428571
HanXRQChr01	24700001	11.4830357142857
HanXRQChr01	24800001	11.4832142857143
HanXRQChr01	24900001	11.4833928571429
HanXRQChr01	25000001	11.4835714285714
HanXRQChr01	25100001	11.48375
HanXRQChr01	25200001	11.4839285714286
HanXRQChr01	25300001	11.4841071428571
HanXRQChr01	25400001	11.4842857142857
HanXRQChr01	25500001	11.4844642857143
HanXRQChr01	25600001	11.4846428571429
HanXRQChr01	25700001	11.4848214285714
HanXRQChr01	25800001	11.4854761904762
HanXRQChr01	25900001	11.4859523809524
HanXRQChr01	26000001	11.4864285714286
HanXRQChr01	26100001	11.4869047619048
HanXRQChr01	26200001	11.487380952381
HanXRQChr01	26300001	11.4878571428571
HanXRQChr01	26400001	11.4883333333333
HanXRQChr01	26500001	11.4888095238095
HanXRQChr01	26600001	11.4892857142857
HanXRQChr01	26700001	11.4897619047619
HanXRQChr01	26800001	11.4902380952381
HanXRQChr01	26900001	11.4907142857143
HanXRQChr01	27000001	11.4911904761905
HanXRQChr01	27100001	11.4916666666667
HanXRQChr01	27200001	11.4921428571429
HanXRQChr01	27300001	11.492619047619
HanXRQChr01	27400001	11.4930952380952
HanXRQChr01	27500001	11.4935714285714
HanXRQChr01	27600001	11.4940476190476
HanXRQChr01	27700001	11.4945238095238
HanXRQChr01	27800001	11.4957692307692
HanXRQChr01	27900001	11.4965384615385
HanXRQChr01	28000001	11.4973076923077
HanXRQChr01	28100001	11.4980769230769
HanXRQChr01	28200001	11.4988461538462
HanXRQChr01	28300001	11.4996153846154
HanXRQChr01	28400001	11.5003846153846
HanXRQChr01	28500001	11.5011538461538
HanXRQChr01	28600001	11.5019230769231
HanXRQChr01	28700001	11.5026923076923
HanXRQChr01	28800001	11.5034615384615
HanXRQChr01	28900001	11.5042307692308
HanXRQChr01	29000001	11.5061111111111
HanXRQChr01	29100001	11.5072222222222
HanXRQChr01	29200001	11.5083333333333
HanXRQChr01	29300001	11.5094444444444
HanXRQChr01	29400001	11.5105555555556
HanXRQChr01	29500001	11.5116666666667
HanXRQChr01	29600001	11.5127777777778
HanXRQChr01	29700001	11.5138888888889
HanXRQChr01	29800001	11.51625
HanXRQChr01	29900001	11.5175
HanXRQChr01	30000001	11.51875
HanXRQChr01	30100001	11.52
HanXRQChr01	30200001	11.52125
HanXRQChr01	30300001	11.5225
HanXRQChr01	30400001	11.52375
HanXRQChr01	30500001	11.5264285714286
HanXRQChr01	30600001	11.5278571428571
HanXRQChr01	30700001	11.5292857142857
HanXRQChr01	30800001	11.5307142857143
HanXRQChr01	30900001	11.5321428571429
HanXRQChr01	31000001	11.5335714285714
HanXRQChr01	31100001	11.5364285714286
HanXRQChr01	31200001	11.5378571428571
HanXRQChr01	31300001	11.5392857142857
